id,post_parent,image,image_gallery,post_title,post_content,post_excerpt,post_name,post_date,_sku,product_cat,product_tag,_regular_price,_sale_price,_sale_price_dates_from,_sale_price_dates_to,_featured,_tax_status,_tax_class,_weight,_height,_width,_length,_stock,_stock_status,_manage_stock,_backorders,_sold_individually,product_shipping_class,grouped_items,_product_adminlink,_purchase_note,post_status,_visibility,_upsell_ids,_crosssell_ids,_downloadable,_virtual,_download_expiry,_download_limit,_downloadable_files,_download_type,_product_url,_button_text,comment_status,menu_order,product_type,_product_permalink,_default_attributes,attribute_pa_anbieter,attribute_pa_white-label,attribute_pa_produkttyp
2901,0,,,5 Tage Beratung,"Richtig viel, das was Sie brauchen",,5-tage-beratung,2015-08-14 15:36:53,,individualoffer,,1,1,,,no,Taxable,Standard,,,,,,instock,no,Do not allow,no,,Choose a grouped product...,post.php?post=2901&action=edit,,publish,Catalog/search,,,yes,yes,,,,Standard,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/individualoffer/5-tage-beratung/,,Kanzlei Prof. Schweizer,,
2821,0,,,Ablehnung der Pflegestufe - Prüfung des Bescheids,"Ihr Antrag auf Gewährung einer Pflegestufe ist abgelehnt worden oder sie haben ein Bescheid zur Einstufung in eine Pflegestufe erhalten, mit welchen sie nicht einverstanden sind?

<strong>Das Beratungsangebot</strong>
Im Rahmen der Erstberatung überprüfen wir die Erfolgsaussichten gegen den Bescheid der Pflegekasse vorzugehen.

Bitte beachten Sie, dass für die Einlegung eines Widerspruchsfristen gelten so dass eine Überprüfung nur bei rechtzeitiger Beauftragung vor Ablauf dieser Fristen (einen Monat nach Zugang des Bescheids) erfolgen kann.",Ihr Antrag auf Gewährung einer Pflegestufe wurde abgelehnt? Im Rahmen der Erstberatung überprüfen wir die Erfolgsaussichten gegen den Bescheid der Pflegekasse vorzugehen.,ablehnung-der-pflegestufe-pruefung-des-bescheids,2015-07-22 13:08:50,,Medizinrecht,"Verbraucher, Medizinrecht, Patientenrecht, Patient, Pflegestufe, Pflegekasse, Pflegerecht, Pflege",69.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=2821&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/medizinrecht/ablehnung-der-pflegestufe-pruefung-des-bescheids/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
1734,0,,,Adressermittlung / Schuldnersuche,"Ihnen schuldet jemand Geld – der Schuldner ist aber nicht (mehr) auffindbar?

<strong>Das Beratungsangebot</strong>
Wenn Rechnungen oder Mahnungen als unzustellbar zurück kommen, helfen wir Ihnen, die neue Adresse der Person oder der Firma ausfindig zu machen, die Ihnen noch Geld schuldet. Wir recherchieren in den gängigen Datenbanken und Registern und führen eine Einwohnermeldeamtsanfrage (EMA) durch.","Wenn Rechnungen oder Mahnungen als unzustellbar zurück kommen, helfen wir Ihnen, die neue Adresse der Person oder der Firma ausfindig zu machen, die Ihnen noch Geld schuldet. Wir recherchieren in Datenbanken und Registern und führen eine Einwohnermeldeamtsanfrage (EMA) durch.",adressermittlung-schuldnersuche,2015-03-25 17:52:55,,Inkasso &amp; Geldforderungen,"Verbraucher, Unternehmer, Inkasso, Schuldner, Adressermittlung, Mahnung",49.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=1734&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/inkasso/adressermittlung-schuldnersuche/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
2979,0,,,Aktienkauf - Prüfung der rechtlichen Möglichkeiten bei Falschberatung,"Sie haben sich aufgrund einer Beratung zum Erwerb einer Kapitalanlage aus Aktien entschlossen und sind jetzt der Meinung, dass diese Beratung nicht zutreffend oder unvollständig war?

<strong>Das Beratungsangebot</strong>
Wir prüfen für Sie anhand des geschilderten Beratungsablaufs, ob grundsätzlich Schadensersatzansprüche oder eine Vertragsauflösung wegen falscher Beratung in Betracht kommen.

Bei einer Anlageberatung besteht die vertragliche Pflicht des Beraters, den Anlageinteressenten anleger- und objektgerecht zu beraten. Dies bedeutet, dass die Anlage dem Risikoprofil des Anlegers entsprechen muss und er über die konkreten Risiken der empfohlenen Anlage aufzuklären ist. Bei einem Verstoß gegen die Beratungspflicht ist sowohl ein Schadensersatz, als auch eine Vertragsauflösung möglich.",Wir prüfen ob grundsätzlich Schadensersatzansprüche oder eine Vertragsauflösung wegen falscher Beratung beim Kauf von Aktien in Betracht kommen.,falschberatung-beim-aktienkauf-pruefung-der-rechtlichen-moeglichkeiten,2015-08-28 15:21:30,,Bank- und Kapitalmarktrecht,"Kreditrecht, Verbraucher, Unternehmer, Bankrecht, Kapitalmarktrecht, Kapitalanlage, Aktienkauf, Aktien, Beratungsablauf, Falschberatung",120.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=2979&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/bankrecht/falschberatung-beim-aktienkauf-pruefung-der-rechtlichen-moeglichkeiten/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
2840,0,,,Alkoholfahrten - Erstberatung für Betroffene in OWi-Sachen,"Sie wurden bei einer Alkoholfahrt erwischt?

<strong>Das Beratungsangebot</strong>
Wir erläutern Ihnen im Rahmen einer Erstberatung die möglichen Rechtsfolgen (Höhe der Geldbuße, Verhängung eines Fahrverbotes, Punkte im Verkehrszentralregister, Anordnung einer MPU, Entzug der Fahrerlaubnis).

Zudem erklären wir die Abgrenzung der OWi zur Straftat und informieren darüber, wie man sich während eines OWi-Verfahrens wegen einer Alkoholfahrt verhält und was man nach Erhalt eines Bußgeldbescheides unternehmen muss.","Wir erläutern den weiteren Ablauf des OWi-Verfahrens, mögliche Rechtsfolgen und geben Empfehlungen für die weitere Vorgehensweise.",owi-sachen-alkoholfahrten,2015-08-12 12:21:16,,Verkehrsrecht,"Verbraucher, Unternehmer, Bußgeldbescheid, Verkehrsrecht, Anhörungsbogen, Straßenverkehrsordnung, Alkoholfahrt, OWi-Sache, Ordnungswidrigkeitenrecht, Straßenverkehrsrecht, OWi-Verfahren",89.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=2840&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/verkehrsrecht/owi-sachen-alkoholfahrten/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
16415,0,,,Anfechtung eines Testaments,"Sie haben Zweifel darüber, ob ein Testament auch wirklich wirksam ist? Sind die letztwilligen Verfügungen für den einzelnen nicht nachvollziehbar oder sind Bedenken darüber entstanden, ob sie auch wirklich von dem Erblasser getroffen wurden? Gefälschte Testamente und Testamente, die unter Druck oder Zwang erstellt wurden, sind leider nicht selten. Bestehen hier Bedenken, so muss derjenige, der sich übergangen fühlt, Maßnahmen ergreifen.

<strong>Das Beratungsangebot</strong>
Sie erhalten eine telefonische Erstberatung, in der Ihre Situation überprüft wird. Anschließend erstellen wir ein Schreiben für Sie, mit dem Sie zumindest die Anfechtung rechtswirksam erklären können.","Sie erhalten eine telefonische Erstberatung und ein Schreiben, mit dem Sie zumindest die Anfechtung des Testaments rechtswirksam erklären können.",anfechtung-eines-testaments,2015-11-16 12:51:57,,Erbrecht,"Testament, Erbrecht, Verbraucher, Erbe, Vermächtnis, Geltendmachung, Testament anfechten, Anfechtung",189,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=16415&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/erbrecht/anfechtung-eines-testaments/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
2820,0,,,Anfechtung oder Kündigung des privaten Krankenversicherungsvertrages - Erstberatung zum weiteren Vorgehen,"Ihr privater Krankenversicherer hat im Leistungsfall die Kündigung des Versicherungsvertrages oder sogar die Anfechtung bzw. den Widerruf erklärt? Ihr Versicherer hat dies damit begründet, dass Sie bei Antragstellung Gesundheitsfragen oder sonstige erforderlichen Angaben nicht oder falsch beantwortet haben und er Sie im Falle der zutreffenden Beantwortung nicht versichert hätte.

<strong>Das Beratungsangebot</strong>
Wir prüfen im Rahmen einer Erstberatung die Erklärungen des Versicherers auf Ihre formale und inhaltliche Rechtmäßigkeit und geben Ihnen eine Einschätzung der Erfolgsaussichten gegen diese Erklärung vorzugehen.

Im Falle von Erfolgsaussichten kann eine weitere individuelle Mandatierung zur Durchsetzung von Ansprüchen erfolgen.","Sie erhalten eine rechtlich fundierte Einschätzung zur Frage der Möglichkeiten, gegen die Kündigung, den Widerruf bzw. die Anfechtung Ihres Krankenversicherungsvertrages vorzugehen und ggf. Leistungen von Ihrem Versicherer zu fordern.",anfechtung-oder-kuendigung-des-privaten-krankenversicherungsvertrages,2015-07-22 12:49:07,,Medizinrecht,"Verbraucher, Medizinrecht, Patientenrecht, Patient",89.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=2820&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/medizinrecht/anfechtung-oder-kuendigung-des-privaten-krankenversicherungsvertrages/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
2992,0,,,Anfechtung oder Kündigung des privaten Krankenversicherungsvertrages - Erstberatung zur Sicherung von Ansprüchen,"<span style=""line-height: 1.42857143;"">Ihr privater Krankenversicherer hat im Leistungsfall die Kündigung des Versicherungsvertrages oder sogar die Anfechtung bzw. den Widerruf erklärt? </span>Ihr Versicherer hat dies damit begründet, dass Sie bei Antragstellung Gesundheitsfragen oder sonstige erforderlichen Angaben nicht oder falsch beantwortet haben und er Sie im Falle der zutreffenden Beantwortung nicht versichert hätte.

<strong>Das Beratungsangebot</strong>
Wir prüfen die Erklärungen des Versicherers auf Ihre formale und inhaltliche Rechtmäßigkeit und geben Ihnen eine Einschätzung der Erfolgsaussichten gegen diese Erklärung vorzugehen. Im Falle von Erfolgsaussichten kann eine weitere individuelle Mandatierung zur Durchsetzung von Ansprüchen erfolgen.","Sie erhalten eine rechtlich fundierte Einschätzung zur Frage der Möglichkeiten, gegen die Kündigung, den Widerruf bzw. die Anfechtung Ihres Krankenversicherungsvertrages vorzugehen und ggf. Leistungen von Ihrem Versicherer zu fordern.",anfechtung-oder-kuendigung-des-privaten-krankenversicherungsvertrages-erstberatung-zur-sicherung-von-anspruechen,2015-09-01 12:59:41,,Medizinrecht,"Verbraucher, Medizinrecht, Patientenrecht, Krankenversicherungsvertrag, PKV, private Krankenversicherung",89.00,,,,no,Taxable,Standard,,,,,,instock,,,no,,Choose a grouped product...,post.php?post=2992&action=edit,,publish,Catalog/search,,,no,no,,,,,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/medizinrecht/anfechtung-oder-kuendigung-des-privaten-krankenversicherungsvertrages-erstberatung-zur-sicherung-von-anspruechen/,,STEINPICHLER Rechtsanwälte PartGmbB,"Guter Rat, SUPERillu, Recht-sofort",
3096,0,,,Angebot 12/123,sdfdsfsdfsd fdsfsdfdsfs,,angebot-12123,2015-10-14 13:34:34,,individualoffer,,1,1,,,no,Taxable,Standard,,,,,,instock,no,Do not allow,no,,Choose a grouped product...,post.php?post=3096&action=edit,,publish,Catalog/search,,,yes,yes,,,,Standard,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/individualoffer/angebot-12123/,,STEINPICHLER Rechtsanwälte PartGmbB,,
2729,0,,,Angebotstitel = Produkttitel,nix,,angebotstitel-produkttitel,2015-07-03 14:55:16,,individualoffer,,1,1,,,no,Taxable,Standard,,,,,,instock,no,Do not allow,no,,Choose a grouped product...,post.php?post=2729&action=edit,,publish,Catalog/search,,,yes,yes,,,,Standard,,,yes,0,simple,http://dev.recht-sofort.com/beratungsangebot/individualoffer/angebotstitel-produkttitel/,,STEINPICHLER Rechtsanwälte PartGmbB,,
